month,oil_bpd,oil_bbl,water_bbl,field_price,revenue,royalties,opex,netback,live,capital,cf_btax,tax,cf_atax,disc_factor
70,30.3037569478178,921.8402863526175,4365.420792693294,63.0,58075.938040214896,25075.373349265836,34870.959652309684,-1870.3949613606237,False,0.0,0.0,0.0,0.0,0.5757943050421872
71,29.91865697998351,910.1255453310985,4339.869530730779,63.0,57337.90935585921,24770.694443560642,34702.98617852549,-2135.771266226926,False,0.0,0.0,0.0,0.0,0.5712391637320979
72,29.542750168725757,898.6904601326376,4314.004824529934,63.0,56617.498988356165,24473.288872365098,34536.02151568391,-2391.811399692844,False,0.0,0.0,0.0,0.0,0.5667200584025197
73,29.17571671557532,887.5253024878012,4287.855525365657,63.0,55914.094056731476,24182.90362125234,34370.08890047495,-2638.8984649958147,False,0.0,0.0,0.0,0.0,0.5622367039707727
74,28.817251359981583,876.6207863706398,4261.4495915213465,63.0,55227.10954135031,23899.297177736567,34205.21187363152,-2877.399510017771,False,0.0,0.0,0.0,0.0,0.5577888176094825
75,28.467062566654647,865.9680432776344,4234.814069844763,63.0,54555.98672649096,23622.23888832381,34041.41404075833,-3107.666202591179,False,0.0,0.0,0.0,0.0,0.5533761187287379
76,28.124871766634566,855.5585991410236,4207.975081952592,63.0,53900.191745884484,23351.508358069997,33878.718860118344,-3330.035472303858,False,0.0,0.0,0.0,0.0,0.5489983289583902
77,27.79041264799869,845.3843527521202,4180.957814780767,63.0,53259.21422338358,23086.894889410993,33717.14945549036,-3544.830121517778,False,0.0,0.0,0.0,0.0,0.5446551721304929
78,27.46343049246921,835.4375555809135,4153.78651517615,63.0,52632.566001597545,22828.19695730751,33556.72845228411,-3752.359407994074,False,0.0,0.0,0.0,0.0,0.5403463742618797
79,27.1436815545008,825.7107928879144,4126.48448822639,63.0,52019.77995193861,22575.22171799891,33397.477835173144,-3952.9196012334432,False,0.0,0.0,0.0,0.0,0.5360716635368805
80,26.83093247971579,816.1969660329544,4099.074099028568,63.0,51420.408860076124,22327.784548887503,33239.418825581764,-4146.794514393143,False,0.0,0.0,0.0,0.0,0.5318307702901747
81,26.52495975981529,806.8892758935812,4071.5767776029866,63.0,50834.02438129561,22085.708617281503,33082.57177743817,-4334.256013424063,False,0.0,0.0,0.0,0.0,0.5276234269897787
82,26.22554922133097,797.7812073128881,4044.0130266660417,63.0,50260.21606071195,21848.82447591159,32926.95608968307,-4515.564504882714,False,0.0,0.0,0.0,0.0,0.5234493682201701
83,25.932495545797547,788.8665145031614,4016.4024319853174,63.0,49698.59041369917,21616.969683306597,32772.5901341002,-4690.969403707633,False,0.0,0.0,0.0,0.0,0.5193083306655435
84,25.64560181912119,780.1392073376667,3988.7636750503048,63.0,49148.770062273,21389.988447268035,32619.491197111573,-4860.7095821066105,False,0.0,0.0,0.0,0.0,0.5152000530931997
85,25.364679108097103,771.5935384683139,3961.1145478035596,63.0,48610.39292350378,21167.731289824216,32467.675434256846,-5025.013800577282,False,0.0,0.0,0.0,0.0,0.511124276337066
86,25.089546062191484,763.223991211865,3933.4719691892883,63.0,48083.111446347495,20950.054732172743,32317.157836151207,-5184.101121976455,False,0.0,0.0,0.0,0.0,0.5070807432813478
87,24.820028538851044,755.0252681518488,3905.852003288853,63.0,47566.591893566474,20736.820998237257,32167.952204789675,-5338.181309460459,False,0.0,0.0,0.0,0.0,0.5030691988443071
88,24.55595925073795,746.9922804074484,3878.2698788260577,63.0,47060.513665669256,20527.897735570907,32020.071139138687,-5487.455209040338,False,0.0,0.0,0.0,0.0,0.49908938996217284
89,24.29717743341154,739.1201375243791,3850.740009838005,63.0,46564.56866403588,20323.157752436604,31873.526029025263,-5632.115117425983,False,0.0,0.0,0.0,0.0,0.49514106557317533
90,24.043528532090537,731.4041379461942,3823.276017320832,63.0,46078.460690610234,20122.47876998324,31728.32705640261,-5772.345135775617,False,0.0,0.0,0.0,0.0,0.4912239766017088
91,23.79486390623306,723.8397600276097,3795.8907516729546,63.0,45601.904881739414,19925.743188518718,31584.48320313727,-5908.321509916575,False,0.0,0.0,0.0,0.0,0.4873378759426186
92,23.55104055076571,716.4226535542929,3768.5963157712295,63.0,45134.62717392045,19732.837866955233,31442.00226452512,-6040.212957559899,False,0.0,0.0,0.0,0.0,0.4834825184456133
93,23.31192083288002,709.1486317362103,3741.404088528593,63.0,44676.36379938125,19543.65391457096,31300.89086780545,-6168.18098299516,False,0.0,0.0,0.0,0.0,0.47965766089979883
94,23.077372243393807,702.0136636440396,3714.3247487939134,63.0,44226.8608095745,19358.08649429502,31161.154494999504,-6292.380179720025,False,0.0,0.0,0.0,0.0,0.47586306201833645
95,22.847267161747947,695.0138670603726,3687.3682994669525,63.0,43785.87362480348,19176.03463678037,31022.797509455297,-6412.958521432189,False,0.0,0.0,0.0,0.0,0.47209848242322133
96,22.621482633776235,688.1455017194731,3660.5440917128403,63.0,43353.16660832681,18997.401064582336,30885.82318553291,-6530.05764178844,False,0.0,0.0,0.0,0.0,0.46836368463018146
97,22.39990016144756,681.4049629112349,3633.860849171504,63.0,42928.5126634078,18822.092025809314,30750.23374091384,-6643.813103315359,False,0.0,0.0,0.0,0.0,0.4646584330336964
98,22.182405503836367,674.7887754267024,3607.3266920680494,63.0,42511.69285188225,18650.017136656847,30616.030371064753,-6754.354655839346,False,0.0,0.0,0.0,0.0,0.46098249389213425
99,21.968888488629897,668.2935878241215,3580.9491611399717,63.0,42102.496032919655,18481.089232278155,30483.21328542979,-6861.806484788289,False,0.0,0.0,0.0,0.0,0.4573356353130064
