top_mmd,base_mmd,pct,desc,gas_units,calcimetry_pct
1665,1670,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",15.0,
1670,1675,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",10.0,
1675,1680,100,"Lutita arenosa gris claro, semidura a dura, calcárea.",17.0,
1680,1685,100 TRZ,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",21.0,
1685,1690,100 TRZ,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",21.0,
1690,1695,100 TRZ,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",22.0,
1695,1700,100 TRZ,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",16.0,
1700,1705,100 TRZ,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",12.0,
1705,1710,100 TRZ,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",11.0,
1710,1715,100 TRZ,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",4.6,
1715,1720,100 TRZ,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",5.16,
1720,1725,100 TRZ,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",13.0,
1725,1730,100 TRZ,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",9.0,
1730,1735,100 TRZ,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",19.0,
