DEPT,CGXT,DNND,DNFD,SMTU,gr,CCLG,NPRS,NPOR,nprl,NPRD,BIT,mss
2218.0,98.053101,3179.47583,171.89917,1946.249878,53.036221,-215.919128,0.398594,0.418238,0.345394,0.314504,9.5,2214.0
2218.1,98.067169,3071.862061,171.592606,1946.249878,52.324364,-1523.138672,0.388609,0.405167,0.333733,0.303757,9.5,2214.1
2218.2,98.083084,3394.815918,154.428925,1946.249878,54.009769,-1647.6521,0.384691,0.39999,0.329075,0.299455,9.5,2214.2
2218.3,98.077629,3267.339844,159.390015,1946.249878,56.056171,46.121582,0.38464,0.399874,0.328937,0.299323,9.5,2214.3
2218.4,98.08252,3142.794922,129.18364,1944.999878,58.101894,-29.413086,0.390566,0.407523,0.335672,0.305513,9.5,2214.4
2218.5,98.097687,3199.180176,186.028946,1943.749878,59.184959,644.457031,0.395414,0.41379,0.341199,0.310594,9.5,2214.5
2218.6,98.093124,3241.751709,155.712845,1942.499878,59.842995,640.065186,0.400285,0.420111,0.346788,0.315733,9.5,2214.6
2218.7,98.113396,3196.039795,135.524078,1941.249878,58.75642,-477.592773,0.399328,0.418912,0.345757,0.314788,9.5,2214.7
2218.8,98.103943,3102.181396,140.661118,1943.749878,57.434139,-58.895142,0.397073,0.416052,0.343274,0.312511,9.5,2214.8
2218.9,98.105736,3112.75293,159.384964,1944.999878,56.714561,1256.870239,0.388811,0.405439,0.333963,0.303957,9.5,2214.9
2219.0,98.12603,3095.638184,148.103149,1947.499878,56.407513,1013.337158,0.381563,0.396085,0.325723,0.296383,9.5,2215.0
2219.1,98.132347,3148.87207,181.13324,1947.499878,55.736549,129.536255,0.374757,0.387278,0.317951,0.289237,9.5,2215.1
2219.2,98.124748,3109.862793,151.251083,1949.999878,57.218487,-587.837158,0.376638,0.38967,0.320031,0.291146,9.5,2215.2
2219.3,98.142159,3067.259521,156.281448,1949.999878,60.038414,-433.02179,0.382149,0.396747,0.326239,0.296847,9.5,2215.3
2219.4,98.144424,3261.312256,139.825409,1951.249878,63.452908,217.967651,0.392377,0.409898,0.337782,0.307451,9.5,2215.4
2219.5,98.144867,3131.553223,160.735886,1948.749878,65.628021,-621.041931,0.399355,0.418871,0.345661,0.314689,9.5,2215.5
2219.6,98.165047,3064.091797,132.328674,1951.249878,68.284012,298.753601,0.405549,0.426869,0.352707,0.321164,9.5,2215.6
2219.7,98.157921,3175.781006,157.542206,1951.249878,67.958038,291.214355,0.405465,0.426768,0.352622,0.321087,9.5,2215.7
2219.8,98.16877,3016.258301,144.947464,1953.749878,66.717995,-504.630432,0.403401,0.424105,0.35028,0.318935,9.5,2215.8
2219.9,98.182037,3145.395264,132.328766,1956.249878,64.632957,-256.650024,0.398034,0.417148,0.344133,0.313285,9.5,2215.9
2220.0,98.178993,3179.186279,155.69455,1956.249878,64.867714,714.210144,0.393352,0.411079,0.338774,0.308358,9.5,2216.0
2220.1,98.182899,3171.903809,176.49382,1954.999878,64.023125,133.057129,0.386276,0.401932,0.33071,0.300947,9.5,2216.1
2220.2,98.191216,3198.943848,137.489197,1956.249878,63.218513,-249.322388,0.378217,0.391601,0.32166,0.292634,9.5,2216.2
2220.3,98.204361,3200.413574,151.256485,1956.249878,62.298267,848.659607,0.369771,0.38083,0.31226,0.284004,9.5,2216.3
2220.4,98.2043,3107.752441,176.489044,1957.499878,62.098232,-108.344299,0.361442,0.370293,0.303119,0.275615,9.5,2216.4
2220.5,98.216522,3247.198486,168.499878,1957.499878,60.960133,-194.821777,0.35375,0.360542,0.294649,0.267842,9.5,2216.5
2220.6,98.225876,3032.367432,167.029297,1959.999878,60.241676,-80.612793,0.347614,0.352766,0.287894,0.261643,9.5,2216.6
2220.7,98.231125,3166.16333,167.026123,1959.999878,60.433445,-642.243469,0.348009,0.353252,0.288308,0.262023,9.5,2216.7
2220.8,98.235329,3019.073242,179.656616,1962.499878,61.223202,-591.49292,0.352862,0.359408,0.293657,0.266932,9.5,2216.8
2220.9,98.22805,3328.845703,149.332306,1963.749878,60.670704,20.305664,0.362734,0.371938,0.304554,0.276934,9.5,2216.9
2221.0,98.240479,3251.394531,170.186493,1964.999878,59.322227,454.385742,0.369683,0.380766,0.312237,0.283986,9.5,2217.0
2221.1,98.257439,3219.751953,151.259674,1964.999878,57.794346,-146.262085,0.374935,0.387436,0.31804,0.289312,9.5,2217.1
2221.2,98.25795,3178.327881,151.235657,1966.249878,56.401985,709.892822,0.375134,0.387677,0.318242,0.289498,9.5,2217.2
2221.3,98.275146,3329.062744,160.7435,1967.499878,54.525925,-803.739136,0.3756,0.388261,0.318746,0.28996,9.5,2217.3
2221.4,98.266083,3230.22583,197.036926,1971.249878,53.455215,-2027.761597,0.372087,0.383765,0.314813,0.286349,9.5,2217.4
2221.5,98.282562,3161.306396,140.619141,1972.499878,53.413498,1085.949219,0.36998,0.381056,0.312436,0.284166,9.5,2217.5
2221.6,98.276245,3220.394775,143.765411,1973.749878,54.759228,1771.383057,0.369364,0.380251,0.311719,0.283507,9.5,2217.6
2221.7,98.288437,3325.146484,192.272537,1973.749878,57.472595,605.409729,0.373578,0.385643,0.316435,0.287836,9.5,2217.7
