DEPT,gr,GR_NRM,res_ln,MINV,MNOR,nphi,res_sn,SP,SP_NRM,mss
2322.3,52.261,55.709,293.079,,,0.04,208.09,111.109,-19.577,2318.3
2322.4,49.568,50.852,299.305,,,0.041,211.166,110.63,-19.87,2318.4
2322.5,48.788,49.444,305.205,,,0.043,213.961,110.151,-20.163,2318.5
2322.6,52.139,55.489,310.715,,,0.044,216.501,109.673,-20.455,2318.6
2322.7,55.491,61.533,315.772,,,0.045,218.811,109.194,-20.748,2318.7
2322.8,57.545,65.238,320.314,,,0.045,220.917,107.287,-21.914,2318.8
2322.9,52.359,55.884,324.276,,,0.045,222.843,104.989,-23.318,2318.9
2323.0,48.235,48.448,327.596,257.576,257.576,0.044,224.615,102.691,-24.723,2319.0
2323.1,47.25,46.67,330.519,249.31,252.556,0.044,226.07,100.393,-26.128,2319.1
2323.2,46.264,44.892,333.32,235.984,238.391,0.043,227.097,98.094,-27.533,2319.2
2323.3,45.278,43.115,335.983,222.658,224.227,0.042,227.81,95.796,-28.938,2319.3
2323.4,44.292,41.337,338.489,216.177,222.866,0.041,228.318,93.498,-30.343,2319.4
2323.5,43.307,39.559,340.82,217.873,224.263,0.04,228.733,91.2,-31.747,2319.5
2323.6,42.321,37.782,342.958,219.568,230.248,0.04,229.164,88.902,-33.152,2319.6
