DEPT,CGXT,SMTU,gr,nprl,CLDC,DCOR,den,pe,dprl,GRGM,HVOL,AVOL,NPOR,NPRS,NPRD,DPOR,DPRS,DPRD,HDEN,CILS,CILM,CILD,res_ilm,res_ild,BIT,mss
2366.85,95.465923,2483.0,77.854143,0.047867,6.121253,0.01088,2.634749,4.566516,0.023455,112.328218,0.000475,0.000218,0.038889,0.083374,0.037727,0.023455,-0.012055,0.10701,2.669891,218.137012,81.681326,56.885801,12.242881,17.579702,6.125,2330.7556034482755
2366.875,95.487505,2481.75,77.606589,0.049265,6.121137,0.010974,2.626352,4.485754,0.025847,112.396884,0.000475,0.000218,0.040197,0.08522,0.039073,0.025847,-0.009577,0.109197,2.665802,213.937518,81.649617,56.651113,12.247614,17.652497,6.125,2330.7792672413793
2366.9,95.484737,2481.25,77.566928,0.05055,6.120813,0.01122,2.616675,4.464917,0.03405,111.800401,0.000475,0.000218,0.041398,0.086913,0.04031,0.03405,-0.001075,0.116699,2.651774,210.521643,81.815834,56.418444,12.223193,17.725349,6.125,2330.8029310344828
2366.925,95.4631,2482.0,78.05255,0.051629,6.120312,0.011868,2.60694,4.499873,0.041938,111.488991,0.000474,0.000218,0.042406,0.08833,0.041347,0.041938,0.007099,0.123911,2.638286,208.384375,82.154796,56.229312,12.173182,17.784885,6.125,2330.826594827586
2366.95,95.496577,2496.75,78.585239,0.052657,6.119761,0.013174,2.598499,4.584454,0.049289,110.883763,0.000474,0.000218,0.043368,0.089678,0.042335,0.049289,0.014717,0.130633,2.625716,207.934058,82.564925,56.058799,12.112724,17.838832,6.125,2330.850258620689
2366.975,95.453185,2507.0,81.578073,0.054034,6.119402,0.015088,2.591778,4.673309,0.058055,110.450015,0.000474,0.000218,0.044655,0.091474,0.043657,0.058055,0.023803,0.138649,2.610726,208.19472,82.891493,55.866446,12.064599,17.900211,6.125,2330.873922413793
2367.0,95.451332,2508.25,85.5104,0.056002,6.119338,0.017572,2.587016,4.696939,0.065608,111.760983,0.000474,0.000218,0.046497,0.094032,0.045545,0.065608,0.03163,0.145556,2.597811,207.876111,83.038017,55.623233,12.042968,17.978994,6.125,2330.8975862068964
2367.025,95.516786,2511.0,88.368404,0.058375,6.119364,0.020797,2.584584,4.638029,0.073826,114.23044,0.000474,0.000218,0.04872,0.097109,0.04782,0.073826,0.040147,0.15307,2.583758,207.720599,82.898825,55.295406,12.063403,18.087118,6.125,2330.92125
2367.05,95.50715,2513.25,89.45374,0.060778,6.119369,0.024723,2.584104,4.541172,0.088483,116.239128,0.000474,0.000218,0.050971,0.10022,0.050123,0.088483,0.055337,0.166473,2.558695,209.619647,82.600758,54.833603,12.107249,18.241477,6.125,2330.9449137931033
2367.075,95.458238,2498.0,91.378032,0.062999,6.119325,0.028571,2.583399,4.458168,0.104148,117.424347,0.000474,0.000218,0.053053,0.103093,0.052251,0.104148,0.071572,0.180799,2.531906,212.585724,82.199196,54.261243,12.166431,18.43536,6.125,2330.9685775862067
2367.1,95.48465,2484.5,93.158559,0.065022,6.119404,0.031057,2.579345,4.403594,0.111844,118.304945,0.000474,0.000218,0.054952,0.105701,0.054188,0.111844,0.079548,0.187836,2.518746,215.777374,81.706653,53.601695,12.239822,18.663077,6.125,2330.99224137931
2367.125,95.505356,2481.0,93.495009,0.066952,6.119797,0.03101,2.569336,4.43099,0.108361,118.47016,0.000475,0.000218,0.056766,0.108175,0.056034,0.108361,0.075938,0.184651,2.524702,219.843326,81.19046,52.899705,12.317804,18.911102,6.125,2331.0159051724136
2367.15,95.469763,2478.5,93.520361,0.069011,6.121284,0.027829,2.552492,4.540265,0.103296,118.422307,0.000475,0.000218,0.058701,0.110797,0.058,0.103296,0.070688,0.180019,2.533364,224.267032,80.616281,52.218399,12.406249,19.157703,6.125,2331.039568965517
2367.175,95.458888,2475.25,94.183101,0.071526,6.123664,0.021922,2.530712,4.691835,0.10897,118.68929,0.000475,0.000219,0.061062,0.113985,0.060399,0.10897,0.076569,0.185208,2.523662,227.208554,79.924591,51.627934,12.514493,19.375228,6.125,2331.063232758621
