mMD,mTVD,mSS,inclination_deg,north_m,east_m,vs_m,dominant,grainstone_pct,mudwack_pct,oil_show
973.5,973.49,968.79,0.15574074074074076,-1.2072222222222222,-3.292777777777778,3.5071029337124284,shale,0.0,0.0,none
974.5,974.49,969.79,0.14944444444444446,-1.2083333333333333,-3.2916666666666665,3.5064424833282075,shale,0.0,0.0,none
975.5,975.49,970.79,0.14314814814814816,-1.2094444444444443,-3.2905555555555557,3.5057826128262803,shale,0.0,0.0,none
976.5,976.49,971.79,0.14321428571428574,-1.2091071428571427,-3.289107142857143,3.5043067617008132,shale,0.0,0.0,none
977.5,977.49,972.79,0.14964285714285716,-1.2073214285714284,-3.2873214285714285,3.502014735353444,shale,0.0,0.0,none
978.5,978.49,973.79,0.15607142857142858,-1.2055357142857142,-3.2855357142857144,3.499723030221864,shale,0.0,0.0,none
979.5,979.49,974.79,0.1625,-1.2037499999999999,-3.28375,3.4974316469375064,shale,0.0,0.0,none
980.5,980.49,975.79,0.16892857142857143,-1.2019642857142856,-3.281964285714286,3.4951405861333726,shale,0.0,0.0,none
981.5,981.49,976.79,0.17535714285714288,-1.2001785714285713,-3.2801785714285714,3.492849848444034,shale,0.0,0.0,none
982.5,982.49,977.79,0.1817857142857143,-1.198392857142857,-3.2783928571428573,3.490559434505639,shale,0.0,0.0,none
983.5,983.49,978.79,0.18821428571428572,-1.1966071428571428,-3.276607142857143,3.488269344955917,shale,0.0,0.0,none
984.5,984.49,979.79,0.19464285714285715,-1.1948214285714285,-3.2748214285714288,3.485979580434183,shale,0.0,0.0,none
985.5,985.49,980.79,0.20107142857142857,-1.1930357142857142,-3.2730357142857143,3.4836901415813406,shale,0.0,0.0,none
986.5,986.49,981.79,0.20750000000000002,-1.19125,-3.27125,3.4814010290398896,shale,0.0,0.0,none
987.5,987.49,982.79,0.21392857142857144,-1.1894642857142856,-3.2694642857142857,3.4791122434539274,shale,0.0,0.0,none
988.5,988.49,983.79,0.22035714285714286,-1.1876785714285714,-3.2676785714285717,3.4768237854691577,shale,0.0,0.0,none
