month_on_production,TEC-2,TEC-6,TEC-7,TEC-9,TEC-10,avg_4_pemex_wells,ifr_workbook_average,ifr_workbook_fit,ifr_tec12_curve
138,5.862245326834125,12.581023652086138,,8.00024068132657,,8.814503220082278,8.814503220082278,24.99153506149006,28.259898284611655
139,6.451807001069816,12.667047745433736,,12.581023652086138,,10.56662613286323,10.56662613286323,24.893490310598313,28.141418463496443
140,0.3333433617219404,7.742168401283777,,12.581023652086138,,6.885511805030618,6.885511805030618,24.796515004923318,28.02427031767875
141,2.142921611069617,4.666807064107165,,25.334095490867472,,10.714608055348085,10.714608055348085,24.700590113595837,27.908429626868536
142,6.129216651016324,6.451807001069816,,25.162047304172276,,12.581023652086138,12.581023652086138,24.605697073662753,27.793872777228678
143,1.9355421003209443,6.451807001069816,,25.334095490867472,,11.240481530752746,11.240481530752746,24.51181777544779,27.68057674209251
144,19.000571618150605,5.333493787551046,,25.162047304172276,,16.498704236624643,16.498704236624643,24.418934548466936,27.56851906342311
145,18.710240303102463,4.51626490074887,,30.323492905028132,,17.849999369626488,17.849999369626488,24.327030147874094,27.45767783398065
146,19.000571618150605,6.333523872716868,,31.429516962354388,,18.921204151073955,18.921204151073955,24.23608774141329,27.348031680166322
147,16.452107852728027,6.451807001069816,,30.323492905028132,,17.74246925294199,17.74246925294199,24.146090896855572,27.23955974551265
148,19.000571618150605,6.129216651016324,,1.9355421003209443,,9.02177678982929,9.02177678982929,24.0570235698991,27.132241674791803
149,18.710240303102463,6.428764833208851,,19.000571618150605,,14.713192251487307,14.713192251487307,23.968870092512844,27.026057598714686
150,18.710240303102463,6.451807001069816,,18.710240303102463,,14.624095869091581,14.624095869091581,23.881615161704474,26.878392150005308
151,18.92914089778162,6.333523872716868,,19.000571618150605,,14.754412129549697,14.754412129549697,23.795243828694517,26.796701366139754
152,18.710240303102463,9.355120151551231,,16.452107852728027,,14.839156102460572,14.839156102460572,23.70974148847958,26.715259110430253
153,19.000571618150605,6.333523872716868,,19.000571618150605,,14.778222369672692,14.778222369672692,23.625093869768037,26.63406462602895
154,19.678011353262935,6.451807001069816,,18.710240303102463,,14.946686219145072,14.946686219145072,23.54128702527293,26.553117158383582
155,25.334095490867472,6.451807001069816,,18.710240303102463,,16.832047598346584,16.832047598346584,23.458307322346847,26.472415955254277
156,25.162047304172276,6.333523872716868,,18.92914089778162,,16.80823735822359,16.80823735822359,23.37614143394498,26.391960266701112
157,25.162047304172276,6.451807001069816,,18.710240303102463,,16.77469820278152,16.77469820278152,23.294776329902618,26.311749345040447
158,25.334095490867472,11.000330936824035,,19.000571618150605,,18.444999348614036,18.444999348614036,23.214199268514445,26.231782444900897
159,25.162047304172276,6.774397351123305,,19.678011353262935,,17.204818669519508,17.204818669519508,23.13439778840322,26.152058823160786
160,25.334095490867472,6.774397351123305,,25.334095490867472,,19.147529444286082,19.147529444286082,23.055359700666397,26.07257773898116
